Gene ID,Tissue
ENSG00000000003,Fallopian Tube
ENSG00000000005,Adipose
ENSG00000000419,Thyroid Gland
ENSG00000000457,Endometrium
ENSG00000000457,Lymph Node
ENSG00000000457,Thyroid Gland
ENSG00000000460,Testis
ENSG00000000938,Bone Marrow
ENSG00000000971,Liver
ENSG00000001036,Placenta
ENSG00000001084,Fallopian Tube
ENSG00000001167,Testis
ENSG00000001460,Testis
ENSG00000001461,Prostate gland
ENSG00000001497,Testis
ENSG00000001561,Bone Marrow
ENSG00000001617,Skin
ENSG00000001626,Gall Bladder
ENSG00000001629,Thyroid Gland
ENSG00000001630,Testis
ENSG00000001631,Thyroid Gland
ENSG00000002016,Ovary
ENSG00000002330,Prostate gland
ENSG00000002549,Appendix
ENSG00000002586,Gall Bladder
ENSG00000002587,Ovary
ENSG00000002726,Placenta
ENSG00000002745,Skin
ENSG00000002746,Cerebral Cortex
ENSG00000002822,Spleen
ENSG00000002822,Testis
ENSG00000002834,Small Intestine
ENSG00000002919,Tonsil
ENSG00000002933,Liver
ENSG00000003056,Thyroid Gland
ENSG00000003096,Smooth Muscle
ENSG00000003137,Skin
ENSG00000003147,Testis
ENSG00000003249,Cerebral Cortex
ENSG00000003393,Cerebral Cortex
ENSG00000003400,Spleen
ENSG00000003402,Lung
ENSG00000003436,Liver
ENSG00000003509,Testis
ENSG00000003756,Endometrium
ENSG00000003987,Cerebral Cortex
ENSG00000003989,Liver
ENSG00000004059,Skin
ENSG00000004139,Duodenum
ENSG00000004142,Adrenal Gland
ENSG00000004399,Placenta
ENSG00000004455,Thyroid Gland
ENSG00000004468,Lymph Node
ENSG00000004478,Testis
ENSG00000004487,Testis
ENSG00000004534,Endometrium
ENSG00000004660,Cerebral Cortex
ENSG00000004700,Lymph Node
ENSG00000004766,Cerebral Cortex
ENSG00000004776,Adipose
ENSG00000004777,Testis
ENSG00000004779,Heart
ENSG00000004799,Ovary
ENSG00000004809,Testis
ENSG00000004838,Testis
ENSG00000004846,Gall Bladder
ENSG00000004848,Ovary
ENSG00000004864,Liver
ENSG00000004866,Thyroid Gland
ENSG00000004897,Thyroid Gland
ENSG00000004939,Bone Marrow
ENSG00000004948,Kidney
ENSG00000004961,Heart
ENSG00000004961,Rectum
ENSG00000004961,Urinary Bladder
ENSG00000004975,Ovary
ENSG00000005001,Esophagus
ENSG00000005007,Testis
ENSG00000005020,Spleen
ENSG00000005022,Duodenum
ENSG00000005059,Lymph Node
ENSG00000005073,Endometrium
ENSG00000005075,Bone Marrow
ENSG00000005100,Cerebral Cortex
ENSG00000005100,Endometrium
ENSG00000005100,Smooth Muscle
ENSG00000005100,Thyroid Gland
ENSG00000005102,Spleen
ENSG00000005108,Kidney
ENSG00000005156,Testis
ENSG00000005175,Tonsil
ENSG00000005187,Ovary
ENSG00000005189,Testis
ENSG00000005194,Testis
ENSG00000005206,Testis
ENSG00000005238,Bone Marrow
ENSG00000005243,Adipose
ENSG00000005249,Adipose
ENSG00000005302,Lymph Node
ENSG00000005339,Ovary
ENSG00000005379,Cerebral Cortex
ENSG00000005381,Bone Marrow
ENSG00000005421,Liver
ENSG00000005436,Endometrium
ENSG00000005448,Fallopian Tube
ENSG00000005469,Thyroid Gland
ENSG00000005471,Liver
ENSG00000005483,Endometrium
ENSG00000005486,Cerebral Cortex
ENSG00000005513,Cerebral Cortex
ENSG00000005700,Thyroid Gland
ENSG00000005801,Lymph Node
ENSG00000005810,Skin
ENSG00000005812,Thyroid Gland
ENSG00000005844,Spleen
ENSG00000005882,Ovary
ENSG00000005884,Lung
ENSG00000005889,Endometrium
ENSG00000005893,Gall Bladder
ENSG00000005961,Bone Marrow
ENSG00000005981,Adrenal Gland
