Tissue,AAA(K),AAC(N),AAG(K),AAT(N),ACA(T),ACC(T),ACG(T),ACT(T),AGA(R),AGC(S),AGG(R),AGT(S),ATA(I),ATC(I),ATT(I),CAA(Q),CAC(H),CAG(Q),CAT(H),CCA(P),CCC(P),CCG(P),CCT(P),CGA(R),CGC(R),CGG(R),CGT(R),CTA(L),CTC(L),CTG(L),CTT(L),GAA(E),GAC(D),GAG(E),GAT(D),GCA(A),GCC(A),GCG(A),GCT(A),GGA(G),GGC(G),GGG(G),GGT(G),GTA(V),GTC(V),GTG(V),GTT(V),TAA(Stop),TAC(Y),TAG(Stop),TAT(Y),TCA(S),TCC(S),TCG(S),TCT(S),TGA(Stop),TGC(C),TGT(C),TTA(L),TTC(F),TTG(L),TTT(F)
Adipose,0.31872566122422685,0.6303129915093671,0.6812743387757736,0.3696870084906329,0.2340283107556967,0.4137512773428321,0.15310733612037025,0.1991130757811009,0.17451653605253978,0.28630341192251674,0.2162800644178406,0.12319329851896392,0.12022208542144776,0.6225175857531051,0.257260328825447,0.23189859811774918,0.6784219235412179,0.7681014018822507,0.3215780764587821,0.23687429630174764,0.3631841890895203,0.13936530960009613,0.2605762050086362,0.09180970163390421,0.21617409108529578,0.233436674967543,0.06778293184287681,0.0453075814496019,0.23026078252864435,0.4783962332217657,0.10093463441192078,0.3361287297187802,0.6519133213311696,0.6638712702812196,0.3480866786688307,0.1891392825175381,0.4586233489742265,0.1311403306923067,0.2210970378159288,0.22531317445622304,0.3788888226771142,0.25283210086196,0.14296590200470263,0.0817596426863614,0.2761646082937361,0.5240413988172734,0.11803435020262906,0.19555555555555557,0.632331271312097,0.29333333333333333,0.3676687286879027,0.11361068466748031,0.26346950255821205,0.07537632261040135,0.13804677972242546,0.5111111111111111,0.6251347560680881,0.3748652439319119,0.043383577417403126,0.6520157900974614,0.10171719097066381,0.34798420990253837
Adrenal Gland,0.36586494143975923,0.6040436206196578,0.6341350585602403,0.39595637938034167,0.24259303985167122,0.3996125197743187,0.14051884895659597,0.2172755914174152,0.19588725103976146,0.2772901028530893,0.21272136359699398,0.13325498541905256,0.13162687211934485,0.5634282331541819,0.30494489472647357,0.2594724929963551,0.6442676288682239,0.7405275070036452,0.3557323711317762,0.25386296964412985,0.3592169226769162,0.13109126021796416,0.2558288474609902,0.11159422447057599,0.21513011677424884,0.18918014133864075,0.07548690277977903,0.0672027457704947,0.2156746306043768,0.42549957678351935,0.11293433019134412,0.3879496682529046,0.604553291945778,0.6120503317470948,0.39544670805422194,0.21283234594254796,0.42778978352180946,0.11322383784169324,0.24615403269394986,0.2441641162201096,0.342820146256371,0.2617316876652317,0.15128404985828814,0.09396747485920451,0.2629605780924381,0.4892069798352083,0.15386496721314966,0.28270042194092826,0.6299644718872266,0.26371308016877637,0.3700355281127736,0.11895789193432944,0.24223971581373713,0.06441450989682362,0.16384279408296842,0.45358649789029537,0.6115546920806125,0.3884453079193876,0.06446661338992432,0.6139146175570067,0.1142221032603408,0.3860853824429926
Bone Marrow,0.3402161588618039,0.6410811561681996,0.6597838411381975,0.3589188438318012,0.22994319451369,0.418818067266038,0.13590571864916157,0.21533301957111156,0.19511834760922708,0.26969547413116435,0.23251519827694586,0.12995509577681702,0.1317811136260624,0.5797319708126232,0.2884869155613151,0.23606107890369069,0.650587729750473,0.7639389210963091,0.3494122702495279,0.2589839057394898,0.36268057030551043,0.12310339457214836,0.2552321293828523,0.0925533602204378,0.20858788519330096,0.19260583332429654,0.07861937537579322,0.06819028751051243,0.2138739760560037,0.44211472418466463,0.10777692937465792,0.3394726657505944,0.6237942940232065,0.6605273342494055,0.3762057059767937,0.21319848941541256,0.43159093995140646,0.11017838558755236,0.24503218504562962,0.22494352142247778,0.374407386480555,0.25644636612032123,0.14420272597664738,0.09372988043476956,0.2593552917751939,0.501242873562644,0.1456719542273929,0.26517273576097106,0.6241756824340334,0.22595704948646125,0.37582431756596674,0.13309654361048628,0.2372763759442026,0.05922792580165819,0.1707485847356726,0.5088702147525677,0.589410665842633,0.4105893341573674,0.0508401626634257,0.6191179558429958,0.11720392021073606,0.3808820441570044
Cerebral Cortex,0.3524959573819112,0.6197478106214539,0.6475040426180894,0.3802521893785489,0.24468070303910963,0.4060492259189343,0.1519366918834262,0.1973333791585299,0.18219262940362974,0.275464728037057,0.2064230757866633,0.12644328088029408,0.12657451401937123,0.5810204044407142,0.29240508153991435,0.23023519955130003,0.6495591042709854,0.7697648004487021,0.3504408957290143,0.2537863844230095,0.35765128280706404,0.1380977168170247,0.25046461595290204,0.10570669308046986,0.2170765944116296,0.21984166579849432,0.06875934151911323,0.06089593416986934,0.21821653254982118,0.4404916622479798,0.1094418317928178,0.36025056732999955,0.6071171379175647,0.6397494326700014,0.3928828620824359,0.20989186220953646,0.42857357656449435,0.12508890650138405,0.23644565472458623,0.2307058291324192,0.37216480258632006,0.2607407819038327,0.13638858637742826,0.09209538282130811,0.2631995812876552,0.5004821377315328,0.14422289815950434,0.25732700960719934,0.6325622632287909,0.24382828651343788,0.36743773677121305,0.12302964108790058,0.24963048131403706,0.07479945633512565,0.15063241234558405,0.4988447038793628,0.6182529463174781,0.38174705368252115,0.060178615005495796,0.6037435291470378,0.11077542423401648,0.3962564708529608
Colon,0.3723931233444396,0.6257299815124577,0.6276068766555601,0.3742700184875421,0.2674608667327728,0.3776400911117236,0.13401391749693514,0.22088512465856844,0.20672921016871398,0.2557083091312668,0.24333396055862658,0.12437879687108301,0.13823001256251863,0.5849895702060879,0.2767804172313935,0.2851729805047999,0.657166860743067,0.7148270194952002,0.34283313925693343,0.2696996467118232,0.34717456796105434,0.11367230363845936,0.26945348168866273,0.09513085363326139,0.2103521616661527,0.17003809545134527,0.07441571852190026,0.06570346541453104,0.24021477844693068,0.421535722250017,0.11186629207110146,0.40332472431642,0.6082149371213036,0.5966752756835804,0.3917850628786965,0.2147050549954393,0.41996471289444887,0.10355892689099319,0.2617713052191186,0.24033143511892396,0.35034988174892473,0.25308026603723377,0.15623841709491776,0.09099230526271512,0.26076166413398155,0.48600143399926377,0.16224459660403986,0.26424870466321243,0.6216068758635798,0.21243523316062177,0.37839312413642023,0.13782200530362854,0.2605878942147078,0.06354330046465141,0.1579596940146623,0.5233160621761658,0.6326100252762766,0.3673899747237236,0.04727126771647629,0.6116477071621623,0.11340847410094329,0.3883522928378376
Duodenum,0.33930545313041716,0.6289097843896327,0.660694546869583,0.37109021561036737,0.2416175854740481,0.415829919831959,0.13741700948006974,0.2051354852139235,0.2003253563099724,0.2681535951982056,0.23589509753859172,0.12278421888310993,0.1260685231137013,0.6124505812993554,0.26148089558694465,0.2245665160624641,0.6570138539767773,0.7754334839375361,0.34298614602322247,0.2508434033571316,0.36849418977377063,0.12639303983959232,0.25426936702950603,0.08879723562271744,0.19081040728744206,0.21409372646722846,0.07007817677404897,0.05728216267872235,0.2290383770035443,0.4600991571938044,0.09853397710673253,0.35040964035061883,0.6167506138580998,0.6495903596493815,0.3832493861418994,0.20866844914269012,0.42677354897455055,0.10667739806761196,0.2578806038151479,0.232746198300256,0.36215063618184884,0.2616133508140729,0.1434898147038228,0.08552716601234943,0.2808544764948653,0.49237657240531907,0.1412417850874667,0.1486988847583642,0.6168864828890644,0.3104089219330857,0.38311351711093455,0.1254522288776002,0.26329716015985677,0.06392565236772002,0.1563871445135081,0.5408921933085502,0.6159712451460694,0.3840287548539304,0.04538869114675747,0.6214051052350897,0.10965763487043913,0.37859489476491015
Endometrium,0.37400511124344116,0.6076079219418331,0.6259948887565581,0.3923920780581668,0.26749812062671363,0.3824667079622649,0.14509779182168067,0.20493737958934105,0.20196426405546025,0.2676556343920633,0.21955646302624562,0.13190185328767187,0.14751884904521098,0.5730637989201832,0.27941735203460655,0.2418344775071744,0.6293322616278745,0.7581655224928256,0.37066773837212547,0.2658920505973187,0.35212301065622414,0.14073901397687966,0.24124592476957718,0.11215231779375796,0.1955421562909809,0.20707584822399977,0.06370895060955557,0.05989651141193316,0.22576143689924763,0.4065097520829664,0.11674524804783706,0.3777640807873479,0.608643342495038,0.6222359192126522,0.3913566575049623,0.21817258819976434,0.4129616927746722,0.1244549495081632,0.24441076951740062,0.23948787641634492,0.3678550622996019,0.25107788676839726,0.14157917451565616,0.09044192495966862,0.2767651239561469,0.48822713470380524,0.14456581638037935,0.2472406181015452,0.6316424756406602,0.31015452538631344,0.3683575243593393,0.1219296734309133,0.255003004583912,0.07392979787931563,0.14958003642612447,0.44260485651214126,0.6243193706362186,0.3756806293637811,0.06303868086777102,0.6012008174147733,0.12804837069024497,0.3987991825852261
Esophagus,0.32707329404923013,0.6533240350781512,0.672926705950769,0.3466759649218496,0.2461091719714553,0.4128712996596535,0.13648414923160102,0.20453537913729108,0.2131387823991453,0.26865108154365386,0.2311542866203662,0.1286889566756226,0.13360517278702616,0.6001978974542503,0.2661969297587235,0.2366983021309075,0.6339683742658789,0.7633016978690925,0.36603162573412107,0.2500630877502848,0.3780565608145668,0.10948520989166184,0.26239514154348714,0.09910520598763924,0.20279808211588854,0.18761561618585576,0.06618802669110553,0.06055203215146496,0.2166684024718899,0.4417596824378216,0.10559073391744526,0.333859563293067,0.6190120991379393,0.6661404367069326,0.3809879008620604,0.20485529931490068,0.44183680735987946,0.11306290309366829,0.24024499023155232,0.2398243108119792,0.3647212237418162,0.24786225256070177,0.14759221288550375,0.09036905908351965,0.27742562802402837,0.48005233579540957,0.15215297709704279,0.32142857142857145,0.6179970823753701,0.2119047619047619,0.38200291762463034,0.12936894093278758,0.24844870761398327,0.0652316930342859,0.15961062019966704,0.4666666666666667,0.6104995157062658,0.389500484293734,0.05618768739238553,0.6595385243291114,0.11924146162899317,0.3404614756708881
Fallopian Tube,0.40784892332141476,0.5666503052174677,0.5921510766785854,0.43334969478253216,0.2766520309453011,0.37087415312978383,0.12270653115409308,0.22976728477082248,0.2424879967576066,0.24795053478385276,0.24154202423476626,0.1386373696085507,0.16528053300589038,0.5092919576980349,0.3254275092960759,0.29175238862374525,0.6120626962439609,0.7082476113762556,0.3879373037560396,0.2834082433473174,0.32488940851146814,0.10802907937008562,0.28367326877112986,0.1030133779892919,0.1645690417445366,0.18201617353634933,0.06637138573745081,0.0727733292580655,0.20033869308183225,0.3932735226958188,0.12978465496603367,0.40646118335901993,0.5773193563720972,0.5935388166409804,0.4226806436279023,0.23429298297516268,0.3899893459600223,0.10451892268033176,0.27119874838448405,0.26855783253528354,0.3241997171812279,0.25955088333186704,0.14769156695162244,0.11818474254171274,0.24345886916879395,0.46347434762832057,0.17488204066117316,0.3142730496453901,0.5716311390441219,0.2105496453900709,0.4283688609558783,0.15119173971421607,0.22264976099030942,0.06266257662096461,0.17690801828210734,0.4751773049645391,0.5626246740625936,0.437375325937406,0.07553516070953939,0.5578100017622158,0.12829463928871157,0.4421899982377837
Gall Bladder,0.35986532150247974,0.5861696840310049,0.6401346784975194,0.4138303159689954,0.242083993333077,0.4123294659336487,0.13707878692940403,0.2085077538038703,0.20377905344087796,0.26773819814349437,0.20399007938470928,0.13219944004889603,0.14059487808681284,0.5798129876308704,0.2795921342823167,0.2864384841471303,0.6205401503533324,0.7135615158528696,0.3794598496466678,0.25866587975587335,0.3457180642407463,0.11295921587631476,0.28265684012706566,0.11091323435123766,0.2198804766219888,0.17410477641683897,0.08733237978434787,0.061318496860453015,0.23134451658699184,0.4224983332912355,0.11227922713462116,0.3926030532083811,0.61138677821452,0.6073969467916192,0.3886132217854795,0.21438343375505078,0.4325746144326032,0.09543485116962622,0.25760710064272,0.2421440061061235,0.3683153030795858,0.2473705276240284,0.14217016319026243,0.0932941152985658,0.270797275548473,0.479648640075179,0.1562599690777821,0.31380208333333326,0.6154207507829283,0.22981770833333337,0.38457924921707115,0.135625606302143,0.23812135914084737,0.06323029672144082,0.1630850996431786,0.45638020833333326,0.5822039808348027,0.41779601916519765,0.06158359187271329,0.6441411877851164,0.11097583425398502,0.3558588122148834
