Gene ID,Tissue
ENSG00000000005,Adipose
ENSG00000000938,Bone Marrow
ENSG00000000938,Spleen
ENSG00000000938,Appendix
ENSG00000000971,Liver
ENSG00000001460,Testis
ENSG00000001626,Colon
ENSG00000001626,Gall Bladder
ENSG00000001626,Rectum
ENSG00000002587,Gall Bladder
ENSG00000002587,Ovary
ENSG00000002726,Placenta
ENSG00000002745,Skin
ENSG00000002746,Cerebral Cortex
ENSG00000002746,Kidney
ENSG00000003096,Endometrium
ENSG00000003096,Smooth Muscle
ENSG00000003137,Skin
ENSG00000003249,Cerebral Cortex
ENSG00000003987,Cerebral Cortex
ENSG00000003989,Liver
ENSG00000004468,Lymph Node
ENSG00000004660,Cerebral Cortex
ENSG00000004776,Adipose
ENSG00000004799,Ovary
ENSG00000004809,Bone Marrow
ENSG00000004809,Testis
ENSG00000004838,Fallopian Tube
ENSG00000004838,Testis
ENSG00000004846,Gall Bladder
ENSG00000004848,Ovary
ENSG00000004939,Bone Marrow
ENSG00000004948,Kidney
ENSG00000005001,Esophagus
ENSG00000005001,Gall Bladder
ENSG00000005073,Endometrium
ENSG00000005073,Smooth Muscle
ENSG00000005187,Ovary
ENSG00000005189,Testis
ENSG00000005249,Adipose
ENSG00000005381,Bone Marrow
ENSG00000005421,Liver
ENSG00000005448,Fallopian Tube
ENSG00000005471,Liver
ENSG00000005513,Cerebral Cortex
ENSG00000005844,Lymph Node
ENSG00000005844,Spleen
ENSG00000005961,Bone Marrow
ENSG00000005981,Adrenal Gland
ENSG00000006025,Stomach
ENSG00000006047,Testis
ENSG00000006059,Esophagus
ENSG00000006059,Testis
ENSG00000006071,Adrenal Gland
ENSG00000006071,Cerebral Cortex
ENSG00000006071,Thyroid Gland
ENSG00000006116,Cerebral Cortex
ENSG00000006118,Cerebral Cortex
ENSG00000006128,Cerebral Cortex
ENSG00000006128,Spleen
ENSG00000006210,Lung
ENSG00000006283,Cerebral Cortex
ENSG00000006377,Endometrium
ENSG00000006377,Placenta
ENSG00000006377,Testis
ENSG00000006468,Salivary Gland
ENSG00000006534,Lung
ENSG00000006555,Esophagus
ENSG00000006606,Ovary
ENSG00000006611,Duodenum
ENSG00000006611,Small Intestine
ENSG00000006634,Testis
ENSG00000006659,Placenta
ENSG00000006747,Small Intestine
ENSG00000006788,Placenta
ENSG00000006788,Skeletal Muscle
ENSG00000006837,Testis
ENSG00000007001,Kidney
ENSG00000007038,Testis
ENSG00000007062,Gall Bladder
ENSG00000007129,Lymph Node
ENSG00000007171,Appendix
ENSG00000007174,Fallopian Tube
ENSG00000007216,Duodenum
ENSG00000007216,Small Intestine
ENSG00000007237,Cerebral Cortex
ENSG00000007264,Spleen
ENSG00000007306,Colon
ENSG00000007306,Rectum
ENSG00000007312,Lymph Node
ENSG00000007312,Spleen
ENSG00000007312,Tonsil
ENSG00000007314,Adipose
ENSG00000007314,Skeletal Muscle
ENSG00000007341,Testis
ENSG00000007350,Testis
ENSG00000007372,Cerebral Cortex
ENSG00000007402,Lung
ENSG00000007516,Fallopian Tube
ENSG00000007908,Prostate gland
ENSG00000007908,Urinary Bladder
ENSG00000007933,Liver
ENSG00000007952,Colon
ENSG00000007952,Rectum
ENSG00000007968,Bone Marrow
ENSG00000008056,Cerebral Cortex
ENSG00000008083,Bone Marrow
ENSG00000008086,Cerebral Cortex
ENSG00000008118,Cerebral Cortex
ENSG00000008118,Ovary
ENSG00000008196,Adrenal Gland
ENSG00000008196,Kidney
ENSG00000008196,Skin
ENSG00000008197,Testis
ENSG00000008226,Fallopian Tube
ENSG00000008226,Testis
ENSG00000008277,Cerebral Cortex
ENSG00000008300,Cerebral Cortex
ENSG00000008300,Testis
ENSG00000008323,Small Intestine
ENSG00000008394,Liver
ENSG00000008438,Bone Marrow
ENSG00000008513,Thyroid Gland
ENSG00000008516,Bone Marrow
ENSG00000008516,Spleen
ENSG00000008516,Appendix
ENSG00000008517,Spleen
ENSG00000008735,Cerebral Cortex
ENSG00000009709,Cerebral Cortex
ENSG00000009709,Skeletal Muscle
ENSG00000009724,Liver
ENSG00000009765,Thyroid Gland
ENSG00000009790,Lymph Node
ENSG00000009790,Spleen
ENSG00000009950,Adipose
ENSG00000010017,Testis
ENSG00000010219,Testis
ENSG00000010282,Heart
ENSG00000010282,Skeletal Muscle
ENSG00000010310,Stomach
ENSG00000010318,Testis
ENSG00000010319,Adipose
ENSG00000010327,Spleen
ENSG00000010361,Testis
ENSG00000010379,Kidney
ENSG00000010404,Cerebral Cortex
ENSG00000010438,Pancreas
ENSG00000010539,Testis
ENSG00000010610,Spleen
ENSG00000010626,Fallopian Tube
ENSG00000010671,Lymph Node
ENSG00000010671,Tonsil
ENSG00000010932,Kidney
ENSG00000011083,Cerebral Cortex
ENSG00000011083,Rectum
ENSG00000011201,Lung
ENSG00000011332,Cerebral Cortex
ENSG00000011347,Cerebral Cortex
ENSG00000011347,Prostate gland
ENSG00000011422,Bone Marrow
ENSG00000011426,Cerebral Cortex
ENSG00000011590,Testis
