Tissue,AAA(K),AAC(N),AAG(K),AAT(N),ACA(T),ACC(T),ACG(T),ACT(T),AGA(R),AGC(S),AGG(R),AGT(S),ATA(I),ATC(I),ATT(I),CAA(Q),CAC(H),CAG(Q),CAT(H),CCA(P),CCC(P),CCG(P),CCT(P),CGA(R),CGC(R),CGG(R),CGT(R),CTA(L),CTC(L),CTG(L),CTT(L),GAA(E),GAC(D),GAG(E),GAT(D),GCA(A),GCC(A),GCG(A),GCT(A),GGA(G),GGC(G),GGG(G),GGT(G),GTA(V),GTC(V),GTG(V),GTT(V),TAA(Stop),TAC(Y),TAG(Stop),TAT(Y),TCA(S),TCC(S),TCG(S),TCT(S),TGA(Stop),TGC(C),TGT(C),TTA(L),TTC(F),TTG(L),TTT(F)
Adipose,0.3318540917253694,0.6198834878874453,0.6681459082746305,0.38011651211255476,0.20336491168836404,0.42129405019766136,0.15368466131618844,0.22165637679778621,0.18558467688748767,0.2297445810498673,0.26037239275907154,0.14382904064352742,0.15550610975306714,0.6403311146820276,0.2041627755649054,0.2093256950208033,0.560705876387944,0.7906743049791969,0.439294123612056,0.23038795403527157,0.33777430374480033,0.12320881126717999,0.308628930952748,0.08204736861450254,0.20656355540746596,0.19839445372905437,0.06703755260241788,0.04260455067436191,0.23385666228698002,0.49521605750789366,0.12807248653537562,0.3497841674522808,0.6074439575361006,0.6502158325477193,0.3925560424638994,0.16125351762096254,0.4502475487694579,0.1251694597635702,0.2633294738460092,0.22098967913145737,0.31660531191859476,0.2501929772783314,0.21221203167161648,0.08303013639530019,0.30718843508680066,0.4886604817411892,0.12112094677670998,0.3055555555555556,0.653155507346684,0.16666666666666666,0.3468444926533162,0.1377919454406671,0.3070537536553588,0.07680012808943086,0.10478055112114838,0.5277777777777778,0.5686854496112695,0.4313145503887304,0.02817015559536565,0.6443307256701494,0.07208008740002317,0.35566927432985046
Adrenal Gland,0.29689945486504077,0.6790156095660522,0.7031005451349593,0.32098439043394805,0.19345366294673239,0.48924566229374644,0.14392467491875027,0.17337599984077082,0.1388916532137063,0.2911208110410676,0.23057079705396172,0.13097834375924272,0.11996930413147003,0.600019257269943,0.280011438598587,0.21616380354651468,0.7047996899487702,0.783836196453485,0.2952003100512297,0.22238772009837543,0.4150029455366685,0.15520335200340993,0.20740598236154628,0.07568932447730498,0.2505120908220599,0.21961484114197177,0.0847212932909951,0.05772395050726201,0.22839260464504793,0.5010568093956244,0.07681805504965221,0.2778537045712731,0.6509446036234118,0.722146295428727,0.34905539637658783,0.16686237717735256,0.4870940466359747,0.11870865455537062,0.22733492163130206,0.19280362132823667,0.38191156075107646,0.28027651434333517,0.14500830357735164,0.06418838366126484,0.2921170890163189,0.5320176382524721,0.11167688906994434,0.23076923076923078,0.6782588171408752,0.3269230769230769,0.32174118285912495,0.08794845422083035,0.2732100771149289,0.06596370263762553,0.15077861122630482,0.4423076923076923,0.663039336824587,0.33696066317541284,0.03302302797028639,0.6753177879447526,0.10298555243212727,0.32468221205524733
Bone Marrow,0.3727588646155518,0.6360070518239902,0.6272411353844487,0.36399294817600963,0.22173043980018184,0.424794650516377,0.14458797622231265,0.20888693346112805,0.19807135967399736,0.23373430983821353,0.24652790285289572,0.14055969454015255,0.14973115934653344,0.5576945108125703,0.29257432984089615,0.2153678133460148,0.6751765241835075,0.7846321866539852,0.3248234758164921,0.2654594151372957,0.35267141458691204,0.12549140839674372,0.25637776187904787,0.09320168295768731,0.21829939218837843,0.1613025338209495,0.08259712850609131,0.04866215116264755,0.22715549685202993,0.4377682960632138,0.12624070990261246,0.34072695531127495,0.6113353649014646,0.659273044688725,0.3886646350985356,0.2176240187279267,0.4205339923983444,0.09395352358614967,0.26788846528757915,0.232296783560226,0.3536388131164662,0.26967395397830585,0.14439044934500164,0.09322107484702573,0.25364216664299777,0.5047195997685124,0.14841715874146397,0.3050847457627119,0.6611030606426287,0.1694915254237288,0.33889693935737164,0.13479035516151885,0.24222150778310308,0.06872203908756327,0.17997209358944852,0.5254237288135594,0.5743102699076881,0.4256897300923119,0.04650991059245803,0.6269761260531482,0.11366343542703791,0.3730238739468519
Cerebral Cortex,0.36301958633707665,0.6126523493548253,0.6369804136629238,0.38734765064517424,0.23858993132086462,0.41665956972701396,0.15129965860639336,0.19345084034572918,0.18890460867237263,0.26848549853117576,0.2031755053156578,0.12499553394726304,0.1302637291828009,0.576057164690757,0.2936791061264425,0.2508925831326834,0.648316307346917,0.7491074168673166,0.3516836926530838,0.24565483525354906,0.36971514573483677,0.13839432963010945,0.24623568938150567,0.10685987364265481,0.22284776155724956,0.2111841970282874,0.06702805378377952,0.06299810071340461,0.22473179440971242,0.43644720014388844,0.10772222228204632,0.3692008788328152,0.6080549693036191,0.6307991211671853,0.3919450306963803,0.2084691341927446,0.43006827121509494,0.12298676489698794,0.23847582969517245,0.23466273226701853,0.37752001890332476,0.2591230966795882,0.12869415215006927,0.09007986773501547,0.2670361623869953,0.5000730904661901,0.14281087941179946,0.29544487015751386,0.631426373621443,0.21881651766709234,0.3685736263785565,0.12080154249159815,0.2542517389107937,0.0780228996026075,0.1534427865165633,0.48573861217539377,0.6098375753029831,0.39016242469701734,0.05796702066013434,0.6092151874607701,0.1101336617908142,0.39078481253922953
Duodenum,0.28764438212448484,0.7019347847919276,0.7123556178755153,0.29806521520807233,0.14348409331413603,0.4793048306636228,0.15308541147769944,0.22412566454454172,0.17765755607900882,0.2113648860553,0.32818463777115825,0.14202951612530354,0.1247282896157856,0.6079937245086255,0.2672779858755888,0.2342650665958937,0.6359307359307359,0.7657349334041064,0.3640692640692641,0.2009895023122625,0.3703792856197525,0.11789461645840123,0.3107365956095837,0.0518319147629848,0.17644534575790247,0.20238996178142524,0.06349058384752045,0.04902478099495856,0.1976530219036181,0.5383958107603908,0.07559720791513433,0.45181979896360513,0.6923859718154968,0.5481802010363948,0.30761402818450334,0.19576104142736983,0.3895896128188015,0.10395202296342869,0.3106973227903998,0.23297144953632393,0.3432404293398534,0.2765263314907198,0.1472617896331028,0.16044465929777801,0.21924480504963398,0.47629753992933066,0.14401299572325732,0.11111111111111109,0.6150831175024724,0.15873015873015875,0.3849168824975277,0.1454407622346394,0.29065351486546004,0.04064275780262524,0.16986856291667177,0.7301587301587302,0.6073066263542453,0.3926933736457545,0.05345262861391894,0.6932134003562576,0.08587654981197909,0.3067865996437425
Endometrium,0.37222222222222223,0.5,0.6277777777777778,0.5,0.10714285714285714,0.5535714285714286,0.125,0.21428571428571427,0.33,0.15263157894736842,0.24666666666666665,0.10263157894736842,0.13333333333333333,0.8,0.06666666666666667,0.26666666666666666,0.4764705882352941,0.7333333333333334,0.5235294117647059,0.2733918128654971,0.34941520467836257,0.07894736842105263,0.2982456140350877,0.04,0.08,0.2633333333333333,0.04,0.06818181818181818,0.21090909090909093,0.43636363636363634,0.08545454545454546,0.40347490347490345,0.5555555555555556,0.5965250965250966,0.4444444444444444,0.3035714285714286,0.2857142857142857,0.09523809523809523,0.31547619047619047,0.28421052631578947,0.29894736842105263,0.2578947368421053,0.15894736842105261,0.05555555555555555,0.2936507936507936,0.34523809523809523,0.3055555555555556,0.5,0.2222222222222222,0.0,0.7777777777777778,0.17894736842105263,0.3315789473684211,0.05263157894736842,0.18157894736842106,0.5,0.125,0.875,0.06818181818181818,0.6547619047619048,0.13090909090909092,0.34523809523809523
Esophagus,0.34441616594511926,0.7013013173727797,0.6555838340548805,0.29869868262722027,0.2437451216912947,0.4186232095456139,0.12988732558384974,0.2077443431792416,0.24063336391193998,0.22613707719134096,0.24746245281206217,0.13396626035985879,0.1562859087306145,0.6144783271716984,0.22923576409768717,0.2466465193271291,0.6519546813749116,0.7533534806728711,0.3480453186250885,0.24120006774399794,0.3961436707100538,0.07046519140673783,0.29219107013921053,0.11179156360869649,0.16164191260421856,0.1647201245597902,0.07375058250329276,0.0834265600074183,0.19985624650973685,0.4114608114551352,0.10383666448122893,0.3219005205827155,0.6276068298354953,0.6780994794172841,0.37239317016450457,0.2020026129806527,0.484637339344588,0.0750858626816719,0.23827418499308725,0.28173775852190563,0.34216565165096163,0.2122423483123384,0.16385424151479405,0.06471084103929808,0.31830971366812405,0.47193675920292294,0.14504268608965495,0.34375,0.6169122553071855,0.140625,0.3830877446928143,0.16944548460742404,0.22957200269894842,0.060121857467981064,0.18075731767444675,0.515625,0.5658815067645602,0.4341184932354399,0.06456823805739996,0.6624571032077069,0.13685147948908055,0.3375428967922929
Fallopian Tube,0.3926994017761117,0.5869538305913459,0.6073005982238883,0.4130461694086542,0.2612434902822631,0.3692819750390738,0.14415977928843887,0.22531475539022405,0.21530254953029654,0.24647211044898867,0.2667404754503739,0.1299422619511917,0.1688557217861899,0.4652908679783204,0.3658534102354894,0.30392378365463263,0.6588253170182538,0.6960762163453673,0.34117468298174614,0.3081637645221028,0.33081194224963884,0.09009308994773434,0.2709312032805237,0.07915317303294965,0.2033379571224629,0.17202380553016977,0.06344203933374705,0.06377508559270882,0.21744008346651042,0.39354869322454494,0.13814113103324904,0.3990254369857928,0.6066476198984331,0.600974563014207,0.39335238010156653,0.2098413448508619,0.40220360034945335,0.11428978243746865,0.2736652723622159,0.2749406258693954,0.3120866692234819,0.27377123121644864,0.13920147369067395,0.10395558197295646,0.2333003328708706,0.48257941686714356,0.18016466828902905,0.22784810126582278,0.5668139443763663,0.20253164556962025,0.43318605562363355,0.14966137954564127,0.22438679447416038,0.0646806834745606,0.18485677010545742,0.569620253164557,0.5838957532743586,0.4161042467256414,0.06334480690983643,0.5984834776218172,0.1237501997731503,0.40151652237818275
Gall Bladder,0.38737566801783596,0.5863590192742496,0.612624331982164,0.41364098072575045,0.17261091331918818,0.4474933796918368,0.10095034115020089,0.27894536583877394,0.2781422180963554,0.22988040696624232,0.21360374751171465,0.17178103191800934,0.16828592018284214,0.5407533769022673,0.29096070291489046,0.25983412970216485,0.6191588680926915,0.7401658702978352,0.3808411319073084,0.23937564814647508,0.3447149692657684,0.15041285593060338,0.265496526657153,0.09988548394246154,0.14441356706168162,0.17734951032597482,0.08660547306181199,0.04968157841189225,0.1803485252800374,0.41964207275321486,0.17569928450731645,0.4182499282342232,0.5635780023476308,0.5817500717657768,0.4364219976523692,0.22324468132241798,0.3944989293013426,0.07761326538188228,0.30464312399435706,0.27258013491285527,0.3220138664473749,0.2492496130836426,0.1561563855561272,0.11966490878887136,0.2257965529431759,0.46235350863923075,0.192185029628722,0.36363636363636365,0.5641604849051658,0.2727272727272727,0.4358395150948342,0.14307154437365488,0.21815767544834938,0.0561001543906696,0.18100918690307444,0.36363636363636365,0.4808594218968613,0.519140578103139,0.06777129642311958,0.5283658117301864,0.10685724262441937,0.4716341882698136
Heart,0.31246587759517425,0.6397797342746284,0.6875341224048258,0.36022026572537147,0.23869994430964347,0.4604614408623155,0.08956624183002346,0.21127237299801757,0.14375561456101527,0.2687340770747838,0.22286381551494783,0.11934748955404997,0.11994651789578485,0.6136407113879688,0.26641277071624625,0.21634345897288537,0.6394636862094311,0.7836565410271147,0.3605363137905689,0.25224022983615696,0.3968626688165631,0.07460603976995606,0.276291061577324,0.082497517142115,0.22878722499110832,0.21539365586014547,0.10670217193066807,0.06387796204724012,0.20023515648765602,0.4923985176018525,0.08373922630957947,0.3542949740908934,0.6136374519849542,0.6457050259091067,0.38636254801504594,0.2392875509717286,0.3832955803874238,0.0752746809435266,0.302142187697321,0.19548761121776012,0.33972103670667675,0.3278874229072022,0.1369039291683609,0.0674292288096617,0.26361528187760297,0.5113066110363206,0.15764887827641463,0.21212121212121213,0.6446726483124096,0.18181818181818182,0.35532735168759055,0.10743756447645396,0.27941314366015535,0.059259510525842676,0.16580821470871418,0.6060606060606061,0.6606432288250469,0.33935677117495294,0.03973248835299976,0.6126308619224133,0.12001664920067208,0.38736913807758666
