Gene ID,Tissue
ENSG00000002745,Skin
ENSG00000004848,Ovary
ENSG00000004939,Bone Marrow
ENSG00000005189,Testis
ENSG00000005381,Bone Marrow
ENSG00000005421,Liver
ENSG00000005471,Liver
ENSG00000006047,Testis
ENSG00000006116,Cerebral Cortex
ENSG00000006659,Placenta
ENSG00000006837,Testis
ENSG00000007001,Kidney
ENSG00000007038,Testis
ENSG00000007174,Fallopian Tube
ENSG00000007350,Testis
ENSG00000007372,Cerebral Cortex
ENSG00000007402,Lung
ENSG00000007933,Liver
ENSG00000008056,Cerebral Cortex
ENSG00000008197,Testis
ENSG00000008438,Bone Marrow
ENSG00000008735,Cerebral Cortex
ENSG00000009765,Thyroid Gland
ENSG00000010318,Testis
ENSG00000010379,Kidney
ENSG00000010404,Cerebral Cortex
ENSG00000010438,Pancreas
ENSG00000010932,Kidney
ENSG00000011332,Cerebral Cortex
ENSG00000011590,Testis
ENSG00000011677,Cerebral Cortex
ENSG00000012223,Bone Marrow
ENSG00000013293,Cerebral Cortex
ENSG00000014257,Prostate gland
ENSG00000015592,Cerebral Cortex
ENSG00000019102,Stomach
ENSG00000019186,Urinary Bladder
ENSG00000019991,Placenta
ENSG00000020129,Cerebral Cortex
ENSG00000021300,Cerebral Cortex
ENSG00000021461,Liver
ENSG00000021852,Liver
ENSG00000022355,Cerebral Cortex
ENSG00000025423,Liver
ENSG00000028839,Testis
ENSG00000034053,Cerebral Cortex
ENSG00000036530,Cerebral Cortex
ENSG00000036565,Adrenal Gland
ENSG00000039537,Liver
ENSG00000039600,Testis
ENSG00000040731,Cerebral Cortex
ENSG00000042781,Liver
ENSG00000042813,Testis
ENSG00000042832,Thyroid Gland
ENSG00000043591,Placenta
ENSG00000046653,Cerebral Cortex
ENSG00000046774,Testis
ENSG00000047457,Liver
ENSG00000047936,Lung
ENSG00000048545,Testis
ENSG00000051128,Spleen
ENSG00000054598,Salivary Gland
ENSG00000054796,Testis
ENSG00000055957,Liver
ENSG00000056998,Adipose
ENSG00000057149,Esophagus
ENSG00000057468,Testis
ENSG00000057593,Liver
ENSG00000061492,Testis
ENSG00000063015,Cerebral Cortex
ENSG00000063127,Testis
ENSG00000063515,Testis
ENSG00000064205,Ovary
ENSG00000064703,Testis
ENSG00000065371,Testis
ENSG00000065609,Cerebral Cortex
ENSG00000065618,Skin
ENSG00000066827,Placenta
ENSG00000066923,Testis
ENSG00000067715,Cerebral Cortex
ENSG00000067840,Cerebral Cortex
ENSG00000068976,Skeletal Muscle
ENSG00000068985,Testis
ENSG00000069206,Testis
ENSG00000070031,Duodenum
ENSG00000070748,Placenta
ENSG00000070808,Cerebral Cortex
ENSG00000070915,Kidney
ENSG00000071677,Testis
ENSG00000072042,Prostate gland
ENSG00000072080,Liver
ENSG00000072694,Placenta
ENSG00000072954,Skeletal Muscle
ENSG00000073146,Testis
ENSG00000073598,Testis
ENSG00000073754,Spleen
ENSG00000073969,Cerebral Cortex
ENSG00000074317,Cerebral Cortex
ENSG00000074803,Kidney
ENSG00000075043,Cerebral Cortex
ENSG00000075702,Testis
ENSG00000075886,Testis
ENSG00000076555,Adipose
ENSG00000077080,Cerebral Cortex
ENSG00000077498,Skin
ENSG00000077800,Testis
ENSG00000077935,Testis
ENSG00000077984,Bone Marrow
