Tissue,AAA(K),AAC(N),AAG(K),AAT(N),ACA(T),ACC(T),ACG(T),ACT(T),AGA(R),AGC(S),AGG(R),AGT(S),ATA(I),ATC(I),ATT(I),CAA(Q),CAC(H),CAG(Q),CAT(H),CCA(P),CCC(P),CCG(P),CCT(P),CGA(R),CGC(R),CGG(R),CGT(R),CTA(L),CTC(L),CTG(L),CTT(L),GAA(E),GAC(D),GAG(E),GAT(D),GCA(A),GCC(A),GCG(A),GCT(A),GGA(G),GGC(G),GGG(G),GGT(G),GTA(V),GTC(V),GTG(V),GTT(V),TAA(Stop),TAC(Y),TAG(Stop),TAT(Y),TCA(S),TCC(S),TCG(S),TCT(S),TGA(Stop),TGC(C),TGT(C),TTA(L),TTC(F),TTG(L),TTT(F)
Adipose,0.33550338430989946,0.6267869598794437,0.6644966156901007,0.37321304012055595,0.23902896793011236,0.39293018148551223,0.15779386230346257,0.21024698828091362,0.1866506341950304,0.2768413436817978,0.20813644086502642,0.12877378740023518,0.1155703862953394,0.6100524855724025,0.2743771281322583,0.2370721695034087,0.6652236801604574,0.7629278304965912,0.33477631983954304,0.2494668724783122,0.3516081499437834,0.1353973436241454,0.2635276339537598,0.09791369948464504,0.20258086689707208,0.23598195189809254,0.06873640666013417,0.05826404979675671,0.21965352571792593,0.4548229902505009,0.10805215905047504,0.35420965237925484,0.6105618727568154,0.6457903476207452,0.3894381272431844,0.2091960311631103,0.43815796059020634,0.12746016043855343,0.2251858478081301,0.23854565504129305,0.3674540363783803,0.2560877433905261,0.13791256518980127,0.09566006220071316,0.25604577995768163,0.5081355022070145,0.14015865563459093,0.24249422632794457,0.6226703002110369,0.24788298691301,0.37732969978896397,0.12568533805029536,0.2449140747781808,0.07143769894360202,0.15234775714588972,0.5096227867590454,0.593252950556623,0.4067470494433767,0.051114499628817145,0.61773153060121,0.10809277555552478,0.3822684693987904
Adrenal Gland,0.4103069843124816,0.5636694376828447,0.5896930156875193,0.4363305623171555,0.26041942222854725,0.37658521528407013,0.13419048682191584,0.22880487566546856,0.20094229054228066,0.2535305638529807,0.2113897331727781,0.14253917355547222,0.15848743292026554,0.49735880151549805,0.3441537655642373,0.2602148804222497,0.6092884943863387,0.7397851195777503,0.3907115056136619,0.26514049887796937,0.3281674335729221,0.12252610383040928,0.2841659637187004,0.11021446560708979,0.1994048061563821,0.19501321657097742,0.0830354879504929,0.0716611997492187,0.19480718094022703,0.4039690356234329,0.12427652218656315,0.4120126205486531,0.5522470054023132,0.5879873794513465,0.44775299459768664,0.22453478821887224,0.38713946084754686,0.11752683333888718,0.27079891759469493,0.25987465691170325,0.33541288875613506,0.24639743470256187,0.15831501962960084,0.11835829338229632,0.25344457686712474,0.44920782379330176,0.1789893059572774,0.24438832772166108,0.5851802191519072,0.2687991021324355,0.4148197808480937,0.13315481813480437,0.2324734011490351,0.06642869259260334,0.17187335071510543,0.4868125701459034,0.5548738156282805,0.44512618437171964,0.07169127666911704,0.5493987115146789,0.13359478483144197,0.45060128848532105
Bone Marrow,0.39993172745587896,0.5678634698609988,0.6000682725441215,0.4321365301390016,0.2724687499062706,0.3478135857303701,0.12740949829727935,0.2523081660660796,0.22607102408048996,0.24057472901870733,0.21315794490550344,0.1551180366004381,0.1707843065836726,0.4866451575389599,0.34257053587736835,0.2598187934284961,0.5747912682775062,0.7401812065715052,0.42520873172249396,0.2859378009954076,0.30615768098491875,0.1161458596466551,0.2917586583730178,0.10923791982584778,0.17732534332909172,0.18848229821168522,0.08572546964738216,0.07686898793654974,0.1847770202202867,0.3849295862293194,0.13605807375647505,0.41365445246035426,0.5476318894550695,0.5863455475396452,0.452368110544931,0.2442056028012355,0.3763623561700092,0.10711072302132842,0.2723213180074272,0.2636439552965481,0.3295948899760195,0.23544781242253024,0.17131334230490158,0.12647440589669304,0.22327277820088517,0.45941091593568684,0.19084189996673503,0.2815469403268719,0.5631175914492645,0.21484226529836564,0.4368824085507364,0.14576674341017776,0.2073035417123491,0.060294635254140194,0.19094231400418735,0.5036107943747624,0.5127448723067218,0.4872551276932781,0.07986620405110895,0.5301553035095176,0.13750012780626095,0.4698446964904822
Cerebral Cortex,0.37527846512989643,0.588630197387137,0.6247215348701035,0.4113698026128659,0.2617985750794983,0.37929067893284973,0.14397883475445775,0.21493191123319483,0.19657387746279148,0.26173315520965845,0.2019573659478436,0.1395663366022934,0.13787035354430374,0.5425878386591991,0.3195418077964977,0.24358975604225105,0.6215624724926323,0.7564102439577512,0.37843752750736837,0.26775809768106174,0.3343152574994346,0.13093842662962477,0.26698821818987756,0.11520796967631698,0.20093522491055604,0.21154470090159241,0.07378086110089886,0.06660600108957135,0.203575665284426,0.41648032094012655,0.1216589328825419,0.3894899664963979,0.5749950488206831,0.6105100335036012,0.4250049511793177,0.22565838948083505,0.4038345229633765,0.11790498982130097,0.2526020977344881,0.24724896830891,0.3510276258006803,0.25285028740352106,0.1488731184868901,0.10715672397793559,0.24969915234236661,0.478697545790078,0.16444657788961903,0.2751494671172342,0.6017542568524769,0.23004938913439044,0.39824574314752065,0.13448906481867307,0.234788634768849,0.06981517994943402,0.15960762865109152,0.49480114374837536,0.5827542113954204,0.4172457886045801,0.06914734865469051,0.5678234983565783,0.12253173114864305,0.43217650164342125
Colon,0.3907858655048501,0.5898930624351318,0.6092141344951495,0.4101069375648681,0.2602496979103615,0.34950473729400966,0.14273123270205565,0.24751433209357318,0.22271100955919462,0.24345813968569857,0.20682678026377996,0.14393148993549293,0.14456843399483535,0.5357069689343273,0.3197245970708372,0.2437112038753103,0.5806214231551804,0.7562887961246895,0.4193785768448199,0.25986169673909737,0.3470528264015241,0.12263110703500517,0.27045436982437365,0.10876329249721223,0.21197215819865764,0.180884557262968,0.06884220221818735,0.07115513889858928,0.20446403499389426,0.4069735733384812,0.12809271090487967,0.4262665497871802,0.5556342595483363,0.5737334502128201,0.44436574045166377,0.20506761718528047,0.38641207597090715,0.1375810335308717,0.2709392733129411,0.2489842021945417,0.3531564044459665,0.2392984037111383,0.15856098964835355,0.11550280095218873,0.22154142205928729,0.4716349929289485,0.19132078405957523,0.3463687150837989,0.5856143698573788,0.2011173184357542,0.41438563014262114,0.12539446997580225,0.23261837547254366,0.0787142606227577,0.1758832643077048,0.45251396648044695,0.6292464872596036,0.3707535127403965,0.07106122271382805,0.5713725157655614,0.11825331915032729,0.42862748423443864
Duodenum,0.32975049141213136,0.6312347687492591,0.6702495085878697,0.36876523125074134,0.23554395511676327,0.4135667726329684,0.14688584227928017,0.20400342997098855,0.17818627418773253,0.2765027079418132,0.20829090315313256,0.12164244922964848,0.12981527108371552,0.6011112117090721,0.26907351720721273,0.21721452232554314,0.6564046301975952,0.7827854776744574,0.34359536980240485,0.2495232635176981,0.3638188193756448,0.13128146886487344,0.2553764482417846,0.08785605899116149,0.2139677529453216,0.2377520858782614,0.07394692484439123,0.05911923900711794,0.21371212197159983,0.46315547545861063,0.10151669562139369,0.33432168938661694,0.6181483089252897,0.665678310613383,0.3818516910747094,0.2070159936833743,0.4313187242358919,0.12029126112586032,0.2413740209548739,0.22841668899720297,0.36914618055910536,0.26074670582780757,0.1416904246158849,0.08812170696433053,0.2547979152847913,0.5195780645487768,0.13750231320210152,0.15308151093439357,0.6256067041458807,0.2604373757455268,0.37439329585411896,0.12265963322281853,0.25898646251458873,0.0676548309130356,0.15255391617809647,0.5864811133200792,0.6297164634829073,0.37028353651709284,0.04806059162817154,0.6339884290904991,0.11443587631310674,0.36601157090950126
Endometrium,0.4592596562957087,0.5028066341083254,0.5407403437042912,0.49719336589167484,0.3291235971649002,0.2976873635198278,0.10249527189680996,0.27069376741846274,0.26548491833329246,0.21827289502408298,0.19806282238790443,0.17294073954053754,0.1894232001613324,0.4267926556673905,0.38378414417127643,0.29584787411155483,0.507819458436811,0.7041521258884452,0.49218054156318897,0.3123085000277156,0.2684360099677732,0.10263366658835386,0.31662182341615636,0.12869703278205,0.14321649354839786,0.17753100634842797,0.08700772659992809,0.08426898482812309,0.16114197744334777,0.3281752815532747,0.1682179382014232,0.47359992344904805,0.4835766048858853,0.5264000765509518,0.5164233951141144,0.27640034826134224,0.3320744276131674,0.09730150943095878,0.2942237146945318,0.3002641283444294,0.28587784755264234,0.22833354586413365,0.18552447823879445,0.15455080114281333,0.2043159349336662,0.42286369495719295,0.21826956896632857,0.3328625235404896,0.4816258797171049,0.22763653483992466,0.5183741202828951,0.17067494099931016,0.18800677970464238,0.05594222529133446,0.19416241944009313,0.43950094161958564,0.4843634315372151,0.5156365684627848,0.1070116099095343,0.481868976213955,0.15118420806429822,0.5181310237860455
Esophagus,0.36815301246522225,0.6092733787304573,0.6318469875347771,0.39072662126954283,0.26717586630028367,0.3777006769478157,0.12656357251356165,0.2285598842383393,0.2260731347889608,0.2543835627886818,0.20637736903415602,0.13890565382327338,0.15186964050632099,0.535282866888666,0.3128474926050134,0.2551403425202052,0.597861807767853,0.7448596574797954,0.4021381922321462,0.2800312398699025,0.34082574812320315,0.09826766460840755,0.280875347398487,0.11589230116175536,0.18288696852223496,0.19769406409348708,0.07107616239940642,0.07027852580102503,0.20101485725585738,0.3829753297769094,0.13516992920469484,0.3825068978693074,0.5813690793961704,0.6174931021306933,0.41863092060382895,0.2217597013581305,0.4068611448362701,0.09956123782137297,0.2718179159842267,0.26317055709984893,0.329660489211515,0.24205308076905518,0.16511587291958119,0.10883029792948415,0.24706503556738948,0.4663295671099573,0.1777750993931694,0.33201581027667987,0.5814925473492211,0.2450592885375494,0.41850745265077866,0.14655171902920003,0.22116276205004526,0.06228187266790398,0.1767144296408962,0.42292490118577075,0.561557421308673,0.4384425786913258,0.07609858427734961,0.6068715424950656,0.13446277368416426,0.39312845750493436
Fallopian Tube,0.37805576152547576,0.5838303582898698,0.621944238474524,0.4161696417101291,0.2672116638637804,0.3686858786599521,0.12694205803658712,0.2371603994396804,0.20095428872018947,0.251917868535889,0.21773006840259082,0.14095078449306242,0.1443771935153863,0.5184233871014097,0.33719941938320286,0.24410207226852887,0.6040915461583025,0.7558979277314714,0.39590845384169776,0.2730401757751047,0.3383126143243457,0.11173875287421452,0.2769084570263349,0.11174836515833737,0.180031529864652,0.2160904287248766,0.07344531912935491,0.0675673650961354,0.20344955152226865,0.41029749430830204,0.1250048220400516,0.3780009817826819,0.569731121204209,0.6219990182173194,0.4302688787957916,0.22441281257104057,0.4024235491798281,0.11020395270399597,0.26295968554513466,0.24820251601190513,0.3418244129926001,0.2571289697521119,0.15284410124338216,0.11253175379525297,0.24068155775219374,0.4854020792310472,0.16138460922150696,0.25778421433743665,0.5782139586136449,0.19261404779145547,0.4217860413863548,0.14007631810984686,0.22686376893271928,0.06729466361501249,0.17289659631347035,0.5496017378711079,0.5588369510850694,0.4411630489149305,0.06535072651973788,0.5610362808159716,0.12833004051350477,0.43896371918402866
Gall Bladder,0.3913132439024316,0.5868043261926953,0.6086867560975682,0.41319567380730443,0.25072122037809885,0.38001298340713663,0.13375228408288364,0.2355135121318818,0.21367193465629836,0.25537131760105297,0.20876480055467062,0.13832220564787584,0.14249541116043077,0.5578214203893461,0.29968316845022386,0.2590543285468047,0.6232556827172016,0.7409456714531957,0.37674431728279895,0.2653251196873449,0.340305223591257,0.11498755198401402,0.27938210473738395,0.10412039810131084,0.20203024714673992,0.1982049074595336,0.07320771208144741,0.06596648071505057,0.20651450245130779,0.4069408875668737,0.12466307209219342,0.4062744808121599,0.588229026360888,0.5937255191878396,0.4117709736391122,0.22217360873238673,0.4151074752049817,0.10185367479623134,0.26086524126640076,0.2456091532961631,0.3592754502611458,0.24781496389616692,0.1473004325465244,0.10589428613908279,0.25745696593882766,0.4667343973172883,0.1699143506048011,0.29304029304029305,0.5918659776897326,0.23260073260073258,0.4081340223102674,0.14183104344380157,0.23154870865872934,0.06260733955262114,0.1703193850959194,0.4743589743589744,0.5990169076765154,0.40098309232348395,0.07115454921517923,0.5832590786090475,0.12476050795939525,0.416740921390953
